Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.400000E+00,-3.120000E-01,+2.260000E-02
-1.399800E+00,-3.120000E-01,+2.300000E-02
-1.399600E+00,-3.120000E-01,+2.340000E-02
-1.399400E+00,-3.120000E-01,+2.340000E-02
-1.399200E+00,-3.120000E-01,+2.380000E-02
-1.399000E+00,-3.040000E-01,+2.380000E-02
-1.398800E+00,-3.120000E-01,+2.340000E-02
-1.398600E+00,-3.120000E-01,+2.380000E-02
-1.398400E+00,-3.120000E-01,+2.380000E-02
-1.398200E+00,-3.120000E-01,+2.420000E-02
-1.398000E+00,-3.120000E-01,+2.420000E-02
-1.397800E+00,-3.120000E-01,+2.420000E-02
-1.397600E+00,-3.120000E-01,+2.460000E-02
-1.397400E+00,-3.120000E-01,+2.500000E-02
-1.397200E+00,-3.120000E-01,+2.540000E-02
-1.397000E+00,-3.120000E-01,+2.500000E-02
-1.396800E+00,-3.120000E-01,+2.540000E-02
-1.396600E+00,-3.040000E-01,+2.540000E-02
-1.396400E+00,-3.040000E-01,+2.540000E-02
-1.396200E+00,-3.040000E-01,+2.540000E-02
-1.396000E+00,-3.040000E-01,+2.580000E-02
-1.395800E+00,-3.040000E-01,+2.620000E-02
-1.395600E+00,-3.040000E-01,+2.660000E-02
-1.395400E+00,-3.040000E-01,+2.620000E-02
-1.395200E+00,-3.040000E-01,+2.660000E-02
-1.395000E+00,-3.040000E-01,+2.700000E-02
-1.394800E+00,-3.040000E-01,+2.700000E-02
-1.394600E+00,-3.040000E-01,+2.700000E-02
-1.394400E+00,-3.040000E-01,+2.700000E-02
-1.394200E+00,-3.040000E-01,+2.740000E-02
-1.394000E+00,-3.040000E-01,+2.740000E-02
-1.393800E+00,-3.040000E-01,+2.740000E-02
-1.393600E+00,-3.040000E-01,+2.740000E-02
-1.393400E+00,-3.040000E-01,+2.740000E-02
-1.393200E+00,-3.040000E-01,+2.740000E-02
-1.393000E+00,-3.040000E-01,+2.740000E-02
-1.392800E+00,-2.960000E-01,+2.780000E-02
-1.392600E+00,-2.960000E-01,+2.820000E-02
-1.392400E+00,-2.960000E-01,+2.780000E-02
-1.392200E+00,-2.960000E-01,+2.780000E-02
-1.392000E+00,-3.040000E-01,+2.820000E-02
-1.391800E+00,-3.040000E-01,+2.860000E-02
-1.391600E+00,-2.960000E-01,+2.900000E-02
-1.391400E+00,-2.960000E-01,+2.900000E-02
-1.391200E+00,-2.960000E-01,+2.940000E-02
-1.391000E+00,-2.960000E-01,+2.940000E-02
-1.390800E+00,-2.960000E-01,+2.940000E-02
-1.390600E+00,-2.960000E-01,+2.940000E-02
-1.390400E+00,-2.960000E-01,+2.980000E-02
-1.390200E+00,-2.960000E-01,+3.020000E-02
-1.390000E+00,-2.960000E-01,+3.020000E-02
-1.389800E+00,-2.880000E-01,+3.020000E-02
-1.389600E+00,-2.880000E-01,+3.020000E-02
-1.389400E+00,-2.880000E-01,+3.020000E-02
-1.389200E+00,-2.800000E-01,+3.060000E-02
-1.389000E+00,-2.800000E-01,+3.100000E-02
-1.388800E+00,-2.800000E-01,+3.060000E-02
-1.388600E+00,-2.880000E-01,+3.100000E-02
-1.388400E+00,-2.880000E-01,+3.140000E-02
-1.388200E+00,-2.880000E-01,+3.140000E-02
-1.388000E+00,-2.880000E-01,+3.140000E-02
-1.387800E+00,-2.880000E-01,+3.100000E-02
-1.387600E+00,-2.800000E-01,+3.180000E-02
-1.387400E+00,-2.800000E-01,+3.220000E-02
-1.387200E+00,-2.800000E-01,+3.220000E-02
-1.387000E+00,-2.800000E-01,+3.180000E-02
-1.386800E+00,-2.800000E-01,+3.180000E-02
-1.386600E+00,-2.800000E-01,+3.180000E-02
-1.386400E+00,-2.800000E-01,+3.220000E-02
-1.386200E+00,-2.800000E-01,+3.260000E-02
-1.386000E+00,-2.800000E-01,+3.260000E-02
-1.385800E+00,-2.800000E-01,+3.260000E-02
-1.385600E+00,-2.800000E-01,+3.260000E-02
-1.385400E+00,-2.800000E-01,+3.260000E-02
-1.385200E+00,-2.800000E-01,+3.300000E-02
-1.385000E+00,-2.720000E-01,+3.300000E-02
-1.384800E+00,-2.720000E-01,+3.300000E-02
-1.384600E+00,-2.720000E-01,+3.340000E-02
-1.384400E+00,-2.720000E-01,+3.340000E-02
-1.384200E+00,-2.720000E-01,+3.380000E-02
-1.384000E+00,-2.720000E-01,+3.380000E-02
-1.383800E+00,-2.720000E-01,+3.420000E-02
-1.383600E+00,-2.640000E-01,+3.420000E-02
-1.383400E+00,-2.720000E-01,+3.420000E-02
-1.383200E+00,-2.720000E-01,+3.420000E-02
-1.383000E+00,-2.640000E-01,+3.420000E-02
-1.382800E+00,-2.640000E-01,+3.420000E-02
-1.382600E+00,-2.640000E-01,+3.460000E-02
-1.382400E+00,-2.640000E-01,+3.460000E-02
-1.382200E+00,-2.640000E-01,+3.460000E-02
-1.382000E+00,-2.640000E-01,+3.500000E-02
-1.381800E+00,-2.640000E-01,+3.500000E-02
-1.381600E+00,-2.640000E-01,+3.540000E-02
-1.381400E+00,-2.640000E-01,+3.500000E-02
-1.381200E+00,-2.560000E-01,+3.580000E-02
-1.381000E+00,-2.560000E-01,+3.580000E-02
-1.380800E+00,-2.560000E-01,+3.540000E-02
-1.380600E+00,-2.560000E-01,+3.580000E-02
-1.380400E+00,-2.560000E-01,+3.620000E-02
-1.380200E+00,-2.560000E-01,+3.620000E-02
-1.380000E+00,-2.560000E-01,+3.660000E-02
-1.379800E+00,-2.560000E-01,+3.620000E-02
-1.379600E+00,-2.560000E-01,+3.620000E-02
-1.379400E+00,-2.560000E-01,+3.660000E-02
-1.379200E+00,-2.560000E-01,+3.660000E-02
-1.379000E+00,-2.560000E-01,+3.700000E-02
-1.378800E+00,-2.560000E-01,+3.700000E-02
-1.378600E+00,-2.480000E-01,+3.700000E-02
-1.378400E+00,-2.480000E-01,+3.700000E-02
-1.378200E+00,-2.480000E-01,+3.740000E-02
-1.378000E+00,-2.480000E-01,+3.780000E-02
