Record Length,Analog:14000
Sample Interval,CH:0.0005000000237
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+5.000000E+00 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.880000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,500000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-3.500000E+00,-2.000000E-01,+3.200000E-03
-3.499500E+00,-2.000000E-01,+3.200000E-03
-3.499000E+00,-4.000000E-01,+3.200000E-03
-3.498500E+00,-4.000000E-01,+3.600000E-03
-3.498000E+00,-4.000000E-01,+4.000000E-03
-3.497500E+00,-2.000000E-01,+4.000000E-03
-3.497000E+00,-2.000000E-01,+4.400000E-03
-3.496500E+00,-2.000000E-01,+5.200000E-03
-3.496000E+00,-4.000000E-01,+5.600000E-03
-3.495500E+00,-4.000000E-01,+6.000000E-03
-3.495000E+00,-2.000000E-01,+6.000000E-03
-3.494500E+00,-4.000000E-01,+6.400000E-03
-3.494000E+00,-4.000000E-01,+7.200000E-03
-3.493500E+00,-2.000000E-01,+7.600000E-03
-3.493000E+00,-4.000000E-01,+7.600000E-03
-3.492500E+00,-4.000000E-01,+8.000000E-03
-3.492000E+00,-2.000000E-01,+8.400000E-03
-3.491500E+00,-4.000000E-01,+8.800000E-03
-3.491000E+00,-4.000000E-01,+9.200000E-03
-3.490500E+00,-4.000000E-01,+9.600000E-03
-3.490000E+00,-4.000000E-01,+1.000000E-02
-3.489500E+00,-4.000000E-01,+1.000000E-02
-3.489000E+00,-4.000000E-01,+1.040000E-02
-3.488500E+00,-2.000000E-01,+1.120000E-02
-3.488000E+00,-2.000000E-01,+1.160000E-02
-3.487500E+00,-2.000000E-01,+1.160000E-02
-3.487000E+00,-4.000000E-01,+1.240000E-02
-3.486500E+00,-4.000000E-01,+1.280000E-02
-3.486000E+00,-4.000000E-01,+1.320000E-02
-3.485500E+00,-4.000000E-01,+1.360000E-02
-3.485000E+00,-4.000000E-01,+1.360000E-02
-3.484500E+00,-2.000000E-01,+1.400000E-02
-3.484000E+00,-4.000000E-01,+1.480000E-02
-3.483500E+00,-4.000000E-01,+1.520000E-02
-3.483000E+00,-4.000000E-01,+1.560000E-02
-3.482500E+00,-4.000000E-01,+1.600000E-02
-3.482000E+00,-4.000000E-01,+1.600000E-02
-3.481500E+00,-4.000000E-01,+1.640000E-02
-3.481000E+00,-4.000000E-01,+1.680000E-02
-3.480500E+00,-4.000000E-01,+1.720000E-02
-3.480000E+00,-4.000000E-01,+1.760000E-02
-3.479500E+00,-4.000000E-01,+1.800000E-02
-3.479000E+00,-4.000000E-01,+1.840000E-02
-3.478500E+00,-4.000000E-01,+1.840000E-02
-3.478000E+00,-4.000000E-01,+1.880000E-02
-3.477500E+00,-4.000000E-01,+1.920000E-02
-3.477000E+00,-4.000000E-01,+2.000000E-02
-3.476500E+00,-2.000000E-01,+2.040000E-02
-3.476000E+00,-2.000000E-01,+2.040000E-02
-3.475500E+00,-4.000000E-01,+2.120000E-02
-3.475000E+00,-4.000000E-01,+2.160000E-02
-3.474500E+00,-4.000000E-01,+2.200000E-02
-3.474000E+00,-4.000000E-01,+2.240000E-02
-3.473500E+00,-4.000000E-01,+2.240000E-02
-3.473000E+00,-4.000000E-01,+2.280000E-02
-3.472500E+00,-4.000000E-01,+2.360000E-02
-3.472000E+00,-4.000000E-01,+2.400000E-02
-3.471500E+00,-4.000000E-01,+2.400000E-02
-3.471000E+00,-4.000000E-01,+2.440000E-02
-3.470500E+00,-4.000000E-01,+2.480000E-02
-3.470000E+00,-4.000000E-01,+2.520000E-02
-3.469500E+00,-4.000000E-01,+2.520000E-02
-3.469000E+00,-4.000000E-01,+2.600000E-02
-3.468500E+00,-4.000000E-01,+2.640000E-02
-3.468000E+00,-4.000000E-01,+2.680000E-02
-3.467500E+00,-2.000000E-01,+2.720000E-02
-3.467000E+00,-4.000000E-01,+2.760000E-02
-3.466500E+00,-4.000000E-01,+2.800000E-02
-3.466000E+00,-4.000000E-01,+2.800000E-02
-3.465500E+00,-4.000000E-01,+2.880000E-02
